TA_F,SW_IN_F,RH,NETRAD,PA_F,WS_F,USTAR,PPFD_IN,P_F,CO2_F,VPD_kPa,SWC_m3m3,VPD_F,TIMESTAMP_START,TIMESTAMP_END
6.369,0.093,98.638,2.8283,97.68,3.547,0.5629946052631579,0.2913413333333333,0.0,401.81,0.0131,0.1035,0.131,2011-01-01 00:00:00,2011-01-01 00:30:00
6.791,0.068,99.178,2.9831,97.623,3.765,0.5656176315789474,0.28137,0.0,401.49,0.0081,0.1045,0.08099999999999999,2011-01-01 00:30:00,2011-01-01 01:00:00
6.764,0.059,99.115,2.7544,97.6,3.984,0.5682406578947368,0.2713986666666667,0.0,401.45,0.0087,0.1045,0.087,2011-01-01 01:00:00,2011-01-01 01:30:00
7.0,0.034,99.588,2.1906,97.6,3.961,0.5708636842105264,0.2614273333333333,0.0,401.67,0.0041,0.1055,0.041,2011-01-01 01:30:00,2011-01-01 02:00:00
6.678,0.047,98.772,2.415,97.6,3.938,0.5734867105263157,0.251456,0.0,401.99,0.012,0.106,0.12,2011-01-01 02:00:00,2011-01-01 02:30:00
6.694,0.027,98.759,1.9906,97.6,3.915,0.5761097368421053,0.2414846666666666,0.1,402.57,0.0121999999999999,0.107,0.121999999999999,2011-01-01 02:30:00,2011-01-01 03:00:00
6.561,0.0,98.765,2.2513,97.547,3.892,0.5787327631578947,0.2315133333333333,0.0,402.77,0.012,0.1075,0.12,2011-01-01 03:00:00,2011-01-01 03:30:00
6.734,0.002,98.935,2.074,97.5,3.869,0.5813557894736842,0.221542,0.0,402.8,0.0104999999999999,0.108,0.104999999999999,2011-01-01 03:30:00,2011-01-01 04:00:00
6.832,0.0,98.899,1.8473,97.433,3.846,0.5839788157894736,0.2115706666666666,0.0,402.9,0.0109,0.109,0.109,2011-01-01 04:00:00,2011-01-01 04:30:00
6.763,0.13,98.722,1.5412,97.4,3.966,0.5866018421052631,0.2015993333333333,0.0,402.58,0.0126,0.11,0.126,2011-01-01 04:30:00,2011-01-01 05:00:00
7.417,0.023,98.918,1.8027,97.4,4.085,0.5892248684210526,0.191628,0.0,402.19,0.0112,0.111,0.112,2011-01-01 05:00:00,2011-01-01 05:30:00
7.471,0.0,98.926,1.2468,97.4,4.205,0.5918478947368421,0.1816566666666667,0.0,402.29,0.0111,0.1119999999999999,0.111,2011-01-01 05:30:00,2011-01-01 06:00:00
7.693,0.0,98.98,1.7795,97.387,4.325,0.5944709210526316,0.1716853333333333,0.0,401.57,0.0107,0.113,0.107,2011-01-01 06:00:00,2011-01-01 06:30:00
7.039,1.684,98.904,4.082,97.393,4.444,0.597093947368421,0.161714,0.0,398.78,0.011,0.113,0.10999999999999999,2011-01-01 06:30:00,2011-01-01 07:00:00
5.583,1.485,98.507,6.2516,97.4,4.564,0.5997169736842105,0.1517426666666667,0.0,395.92,0.0136,0.114,0.13599999999999998,2011-01-01 07:00:00,2011-01-01 07:30:00
4.961,0.0,98.19,5.7451,97.353,4.002,0.60234,0.1417713333333333,0.0,395.84,0.0158,0.115,0.15800000000000003,2011-01-01 07:30:00,2011-01-01 08:00:00
5.17,1.004,97.781,6.3089,97.3,3.658,0.51302,0.1318,0.0,395.39,0.0196,0.1159999999999999,0.196,2011-01-01 08:00:00,2011-01-01 08:30:00
5.427,5.035,85.001,6.9792,97.297,4.955,0.54885,4.4361,0.0,395.48,0.1348,0.1165,1.348,2011-01-01 08:30:00,2011-01-01 09:00:00
6.341,16.218,66.385,11.109,97.277,6.784,0.79691,16.155,0.0,395.51,0.3218999999999999,0.1175,3.218999999999999,2011-01-01 09:00:00,2011-01-01 09:30:00
6.197,52.482,53.216,33.253,97.293,6.549,0.88205,58.105,0.0,395.97,0.4436,0.118,4.436,2011-01-01 09:30:00,2011-01-01 10:00:00
6.171,79.375,47.371,82.015,97.247,5.47,0.86293,237.39,0.0,396.03,0.4981,0.119,4.981,2011-01-01 10:00:00,2011-01-01 10:30:00
6.337,169.425,45.511,158.58,97.263,7.526,1.0879,351.99,0.0,396.08,0.5216999999999999,0.1195,5.217,2011-01-01 10:30:00,2011-01-01 11:00:00
5.824,129.932,36.852,137.8,97.2,8.159,1.3915,249.4,0.0,396.67,0.5835,0.12,5.835,2011-01-01 11:00:00,2011-01-01 11:30:00
4.401,126.31,45.722,77.848,97.26,7.642,1.0423,143.97,0.0,397.28,0.4542,0.1205,4.542,2011-01-01 11:30:00,2011-01-01 12:00:00
3.048,94.062,46.327,59.484,97.213,8.906,1.6216,109.66,0.0,396.94,0.4082,0.121,4.082,2011-01-01 12:00:00,2011-01-01 12:30:00
1.989,75.856,43.113,45.138,97.2,9.782,1.318,89.619,0.0,396.38,0.4011999999999999,0.122,4.011999999999999,2011-01-01 12:30:00,2011-01-01 13:00:00
0.706,77.531,49.43,43.654,97.2,9.354,1.5382,91.451,0.0,396.48,0.3252,0.122,3.252,2011-01-01 13:00:00,2011-01-01 13:30:00
-0.151,110.98,55.384,67.897,97.213,9.099,1.6764,127.8,0.0,396.4,0.2696,0.122,2.696,2011-01-01 13:30:00,2011-01-01 14:00:00
-1.409,105.85,58.724,60.407,97.26,10.132,1.661,122.14,0.0,396.4,0.2274999999999999,0.122,2.274999999999999,2011-01-01 14:00:00,2011-01-01 14:30:00
-2.437,108.22,59.566,65.212,97.32,8.738,1.3888,123.85,0.0,396.53,0.2065,0.1225,2.065,2011-01-01 14:30:00,2011-01-01 15:00:00
-4.617,50.8,72.214,26.025,97.43,8.578,1.6538,58.082,0.0,397.43,0.1205,0.1225,1.205,2011-01-01 15:00:00,2011-01-01 15:30:00
-6.014,35.076,70.398,8.2576,97.527,8.678,1.7683,39.619,0.0,397.92,0.1153999999999999,0.1225,1.153999999999999,2011-01-01 15:30:00,2011-01-01 16:00:00
-6.519,15.619,66.741,-0.868266666666667,97.6,9.341,1.6769,17.893,0.0,397.94,0.1248,0.123,1.248,2011-01-01 16:00:00,2011-01-01 16:30:00
-7.009,5.674,62.717,-9.994133333333334,97.67,9.229,1.5765,6.0617,0.0,398.1,0.1347,0.1225,1.347,2011-01-01 16:30:00,2011-01-01 17:00:00
-7.499,0.201,66.311,-19.12,97.7,8.617,1.5538,0.43768,0.0,397.93,0.1172,0.1225,1.172,2011-01-01 17:00:00,2011-01-01 17:30:00
-7.391,0.0,68.317,-19.267,97.707,7.835,1.5176,0.4835306666666666,0.0,397.98,0.1111,0.122,1.111,2011-01-01 17:30:00,2011-01-01 18:00:00
-7.221,0.0,67.934,-18.193,97.797,8.178,1.446,0.5293813333333334,0.0,398.01,0.1139,0.122,1.139,2011-01-01 18:00:00,2011-01-01 18:30:00
-7.399,0.0,77.924,-11.696,97.8,8.04,1.1518,0.575232,0.0,397.74,0.0774,0.1215,0.774,2011-01-01 18:30:00,2011-01-01 19:00:00
-7.253,0.0,74.305,-15.519,97.8,8.797,1.6364,0.6210826666666667,0.0,397.82,0.0911,0.1215,0.911,2011-01-01 19:00:00,2011-01-01 19:30:00
-6.671,0.0,69.421,-17.797,97.89,7.189,1.3801,0.6669333333333334,0.0,397.97,0.1133999999999999,0.1215,1.133999999999999,2011-01-01 19:30:00,2011-01-01 20:00:00
-6.851,0.0,64.909,-19.206,97.9,7.283,1.397,0.7127840000000001,0.0,397.99,0.1283,0.121,1.283,2011-01-01 20:00:00,2011-01-01 20:30:00
-6.853,0.0,64.245,-20.107,97.9,8.008,1.4715,0.7586346666666667,0.0,397.99,0.1306999999999999,0.1205,1.306999999999999,2011-01-01 20:30:00,2011-01-01 21:00:00
-6.983,0.0,68.959,-16.893,97.9,7.721,1.2592,0.8044853333333333,0.0,397.97,0.1123,0.1205,1.123,2011-01-01 21:00:00,2011-01-01 21:30:00
-7.196,0.0,77.479,-17.03,97.963,6.563,1.0799,0.850336,0.0,397.94,0.0802,0.1205,0.8019999999999999,2011-01-01 21:30:00,2011-01-01 22:00:00
-7.292,0.0,79.121,-14.639,98.0,5.861,1.1699,0.8961866666666667,0.0,397.97,0.0738,0.12,0.738,2011-01-01 22:00:00,2011-01-01 22:30:00
-7.361,0.0,81.686,-10.221,98.083,7.159,1.271,0.9420373333333334,0.0,397.87,0.0644,0.1195,0.644,2011-01-01 22:30:00,2011-01-01 23:00:00
-7.838,0.0,86.429,-7.3762,98.107,7.245,1.2675,0.987888,0.0,397.72,0.046,0.1195,0.45999999999999996,2011-01-01 23:00:00,2011-01-01 23:30:00
-8.028,0.0,86.409,-8.4814,98.2,7.509,1.2692,1.0337386666666666,0.0,397.59,0.0454,0.119,0.454,2011-01-01 23:30:00,2011-01-02 00:00:00
-8.009,0.0,82.057,-12.087,98.2,7.478,1.0754,1.0795893333333333,0.0,397.44,0.06,0.1185,0.6,2011-01-02 00:00:00,2011-01-02 00:30:00
-8.196,0.0,82.493,-9.0067,98.16,5.955,1.0601,1.12544,0.0,397.4,0.0576999999999999,0.1185,0.576999999999999,2011-01-02 00:30:00,2011-01-02 01:00:00
-8.511,0.0,86.437,-5.8586,98.2,6.842,0.98831,1.1712906666666667,0.0,397.16,0.0436,0.1185,0.436,2011-01-02 01:00:00,2011-01-02 01:30:00
-8.625,0.0,88.647,-4.7423,98.2,5.414,0.87583,1.2171413333333334,0.0,397.05,0.0361999999999999,0.1175,0.361999999999999,2011-01-02 01:30:00,2011-01-02 02:00:00
-8.678,0.0,88.557,-6.6303,98.2,4.961,0.84448,1.262992,0.0,397.03,0.0363,0.1175,0.363,2011-01-02 02:00:00,2011-01-02 02:30:00
-8.78,0.0,82.388,-11.651,98.2,4.972,1.0406,1.3088426666666666,0.0,396.86,0.0554,0.1175,0.5539999999999999,2011-01-02 02:30:00,2011-01-02 03:00:00
-8.815,0.0,78.406,-13.977,98.2,5.821,1.1525,1.3546933333333333,0.0,396.37,0.0678,0.1169999999999999,0.6779999999999999,2011-01-02 03:00:00,2011-01-02 03:30:00
-9.119,0.0,81.915,-15.154,98.23,4.804,0.8925,1.400544,0.0,396.0,0.0554,0.1165,0.5539999999999999,2011-01-02 03:30:00,2011-01-02 04:00:00
-9.311,0.0,81.702,-9.7108,98.3,5.733,0.96766,1.4463946666666667,0.0,396.03,0.0552,0.1165,0.552,2011-01-02 04:00:00,2011-01-02 04:30:00
-9.363,0.0,87.164,-6.3825,98.3,5.132,0.95492,1.4922453333333334,0.0,396.0,0.0386,0.1165,0.386,2011-01-02 04:30:00,2011-01-02 05:00:00
-9.064,0.0,88.335,-8.4196,98.3,4.383,0.78848,1.538096,0.0,396.01,0.0359,0.1159999999999999,0.359,2011-01-02 05:00:00,2011-01-02 05:30:00
-9.102,0.0,85.368,-13.886,98.363,3.81,0.60129,1.5839466666666666,0.0,396.04,0.0449,0.1155,0.449,2011-01-02 05:30:00,2011-01-02 06:00:00
-8.905,0.0,87.099,-9.2049,98.397,3.416,0.48647,1.629797333333333,0.0,395.82,0.0402,0.1155,0.402,2011-01-02 06:00:00,2011-01-02 06:30:00
-8.943,0.0,89.244,-4.4791,98.4,3.069,0.39681,1.675648,0.0,395.76,0.0334,0.1155,0.33399999999999996,2011-01-02 06:30:00,2011-01-02 07:00:00
-9.051,0.0,88.832,-4.7303,98.4,3.408,0.48579,1.7214986666666667,0.0,395.5,0.0344,0.115,0.344,2011-01-02 07:00:00,2011-01-02 07:30:00
-9.002,0.0,89.065,-4.9815,98.4,3.082,0.43949,1.7673493333333334,0.0,395.27,0.0338,0.115,0.33799999999999997,2011-01-02 07:30:00,2011-01-02 08:00:00
-8.956,0.845,89.133,-5.406,98.4,2.962,0.39128,1.8132,0.0,395.06,0.0337,0.1144999999999999,0.337,2011-01-02 08:00:00,2011-01-02 08:30:00
-8.691,7.798,89.345,-0.55704,98.4,3.025,0.33214,17.603,0.0,395.23,0.0338,0.1144999999999999,0.33799999999999997,2011-01-02 08:30:00,2011-01-02 09:00:00
-8.273,16.496,90.405,4.883,98.417,2.946,0.32382,37.572,0.0,395.69,0.0314,0.114,0.31399999999999995,2011-01-02 09:00:00,2011-01-02 09:30:00
-7.907,34.822,89.2,16.562,98.477,2.737,0.35382,77.89,0.0,396.15,0.0364,0.114,0.364,2011-01-02 09:30:00,2011-01-02 10:00:00
-7.566,41.782,88.563,24.137,98.5,3.261,0.59035,94.638,0.0,396.2,0.0396,0.114,0.396,2011-01-02 10:00:00,2011-01-02 10:30:00
-7.354,52.57,88.789,32.798,98.5,3.387,0.71941,119.51,0.0,396.02,0.0394,0.1134999999999999,0.39399999999999996,2011-01-02 10:30:00,2011-01-02 11:00:00
-7.289,70.211,87.851,44.364,98.5,3.829,0.82006,157.42,0.0,395.86,0.0429,0.1134999999999999,0.429,2011-01-02 11:00:00,2011-01-02 11:30:00
-7.147,93.601,84.635,62.249,98.5,4.59,0.89174,207.08,0.0,395.87,0.0549,0.113,0.5489999999999999,2011-01-02 11:30:00,2011-01-02 12:00:00
-7.106,91.224,80.07,60.042,98.5,5.485,0.72531,201.45,0.0,395.43,0.0715,0.113,0.715,2011-01-02 12:00:00,2011-01-02 12:30:00
-7.089,108.85,76.925,71.907,98.443,5.391,0.97054,235.3,0.0,393.77,0.0828,0.113,0.828,2011-01-02 12:30:00,2011-01-02 13:00:00
-6.909,91.381,76.601,59.47,98.433,5.067,0.89477,199.03,0.0,393.28,0.0852,0.1125,0.852,2011-01-02 13:00:00,2011-01-02 13:30:00
-6.907,73.047,76.196,46.582,98.5,5.635,0.80593,159.64,0.0,393.08,0.0867,0.1125,0.867,2011-01-02 13:30:00,2011-01-02 14:00:00
-6.736,66.293,76.643,41.407,98.5,4.907,0.81669,144.44,0.0,393.06,0.0862,0.1119999999999999,0.862,2011-01-02 14:00:00,2011-01-02 14:30:00
-6.455,63.593,71.157,36.232,98.453,5.495,0.98483,137.19,0.0,392.95,0.1086999999999999,0.1119999999999999,1.0869999999999989,2011-01-02 14:30:00,2011-01-02 15:00:00
-6.23,62.341,69.474,30.507,98.5,4.086,0.82547,131.53,0.0,392.96,0.1171,0.1119999999999999,1.171,2011-01-02 15:00:00,2011-01-02 15:30:00
-5.879,35.016,65.782,8.4571,98.5,4.812,1.0152,74.666,0.0,392.86,0.1348,0.1119999999999999,1.348,2011-01-02 15:30:00,2011-01-02 16:00:00
-5.676,25.422,62.88,-2.7884,98.5,5.72,0.93635,53.757,0.0,392.82,0.1485,0.1115,1.4849999999999999,2011-01-02 16:00:00,2011-01-02 16:30:00
-5.671,5.335,64.599,-11.89,98.5,5.424,0.91596,12.132,0.0,392.85,0.1417,0.1115,1.4169999999999998,2011-01-02 16:30:00,2011-01-02 17:00:00
-5.789,0.525,66.999,-33.168,98.5,5.85,0.75171,2.824,0.0,393.23,0.1309,0.111,1.309,2011-01-02 17:00:00,2011-01-02 17:30:00
-6.051,0.0,67.744,-33.317,98.537,5.365,0.93968,0.16982,0.0,393.6,0.1254,0.111,1.254,2011-01-02 17:30:00,2011-01-02 18:00:00
-6.16,0.0,65.432,-29.37,98.6,5.497,1.0113,0.3952262068965517,0.0,393.69,0.1333,0.111,1.333,2011-01-02 18:00:00,2011-01-02 18:30:00
-6.247,0.0,65.98,-22.025,98.6,5.408,0.88733,0.6206324137931034,0.0,393.83,0.1303,0.111,1.303,2011-01-02 18:30:00,2011-01-02 19:00:00
-6.162,0.0,64.796,-22.017,98.6,5.229,0.73947,0.8460386206896552,0.0,393.81,0.1357,0.111,1.3569999999999998,2011-01-02 19:00:00,2011-01-02 19:30:00
-6.096,0.0,63.304,-25.978,98.6,4.864,0.91418,1.071444827586207,0.0,393.82,0.1422,0.1105,1.422,2011-01-02 19:30:00,2011-01-02 20:00:00
-5.973,0.0,62.432,-26.85,98.6,5.314,0.86966,1.2968510344827586,0.0,393.92,0.147,0.11,1.47,2011-01-02 20:00:00,2011-01-02 20:30:00
-5.928,0.0,60.317,-31.007,98.657,4.578,0.68804,1.5222572413793105,0.0,393.88,0.1558,0.11,1.5579999999999998,2011-01-02 20:30:00,2011-01-02 21:00:00
-5.737,0.0,60.038,-19.155,98.7,4.689,0.76569,1.7476634482758622,0.0,393.81,0.1592,0.11,1.592,2011-01-02 21:00:00,2011-01-02 21:30:00
-5.582,0.0,59.94,-20.812,98.7,4.931,0.74999,1.9730696551724136,0.0,393.67,0.1615,0.11,1.615,2011-01-02 21:30:00,2011-01-02 22:00:00
-5.438,0.0,59.89,-22.728,98.7,4.716,0.72883,2.1984758620689657,0.0,393.52,0.1635,0.11,1.635,2011-01-02 22:00:00,2011-01-02 22:30:00
-5.36,0.0,58.652,-27.469,98.7,5.931,0.81031,2.423882068965517,0.0,393.31,0.1695,0.1094999999999999,1.695,2011-01-02 22:30:00,2011-01-02 23:00:00
-5.384,0.0,59.314,-21.725,98.7,5.011,0.68637,2.649288275862069,0.0,393.18,0.1665,0.1094999999999999,1.665,2011-01-02 23:00:00,2011-01-02 23:30:00
-5.469,0.0,59.704,-21.051,98.7,4.709,0.60118,2.874694482758621,0.0,393.09,0.1638,0.109,1.638,2011-01-02 23:30:00,2011-01-03 00:00:00
-5.551,0.0,60.529,-21.988,98.7,3.999,0.59394,3.1001006896551724,0.0,393.06,0.1595,0.109,1.595,2011-01-03 00:00:00,2011-01-03 00:30:00
-5.438,0.0,59.158,-21.5,98.7,4.953,0.63108,3.3255068965517243,0.0,392.88,0.1664,0.109,1.664,2011-01-03 00:30:00,2011-01-03 01:00:00
-5.506,0.0,59.662,-20.475,98.7,4.602,0.71997,3.550913103448276,0.0,392.99,0.1635,0.109,1.635,2011-01-03 01:00:00,2011-01-03 01:30:00
-5.536,0.0,59.17,-20.659,98.7,5.235,0.74763,3.776319310344828,0.0,393.11,0.1651999999999999,0.109,1.651999999999999,2011-01-03 01:30:00,2011-01-03 02:00:00
-5.66,0.0,58.765,-20.698,98.7,4.927,0.79955,4.001725517241379,0.0,393.29,0.1651999999999999,0.109,1.651999999999999,2011-01-03 02:00:00,2011-01-03 02:30:00
-5.69,0.0,58.025,-20.545,98.7,4.418,0.66391,4.227131724137931,0.0,393.47,0.1678,0.1085,1.678,2011-01-03 02:30:00,2011-01-03 03:00:00
-5.666,0.0,57.579,-20.492,98.7,5.079,0.793,4.452537931034482,0.0,393.47,0.1699,0.108,1.6989999999999998,2011-01-03 03:00:00,2011-01-03 03:30:00
-5.862,0.0,60.447,-20.811,98.7,4.507,0.77812,4.677944137931034,0.0,393.46,0.156,0.108,1.56,2011-01-03 03:30:00,2011-01-03 04:00:00
-6.021,0.0,60.674,-31.354,98.7,3.818,0.54792,4.903350344827586,0.0,393.48,0.1533,0.108,1.533,2011-01-03 04:00:00,2011-01-03 04:30:00
-6.111,0.0,61.472,-27.707,98.7,3.22,0.53212,5.128756551724138,0.0,393.61,0.1491,0.108,1.491,2011-01-03 04:30:00,2011-01-03 05:00:00
-6.349,0.0,63.277,-42.966,98.7,2.91,0.42825,5.3541627586206895,0.0,393.91,0.1396,0.108,1.396,2011-01-03 05:00:00,2011-01-03 05:30:00
-6.637,0.0,65.235,-78.068,98.7,2.583,0.33285,5.579568965517241,0.0,394.15,0.1292,0.108,1.292,2011-01-03 05:30:00,2011-01-03 06:00:00
-7.037,0.0,66.859,-55.697,98.7,2.56,0.27742,5.804975172413792,0.0,394.25,0.1195,0.108,1.1949999999999998,2011-01-03 06:00:00,2011-01-03 06:30:00
-7.274,0.0,68.468,-72.132,98.7,2.607,0.2171,6.030381379310344,0.0,394.33,0.1116,0.1075,1.116,2011-01-03 06:30:00,2011-01-03 07:00:00
-7.588,0.0,69.113,-58.994,98.7,1.684,0.090172,6.255787586206896,0.0,394.4,0.1066999999999999,0.1075,1.066999999999999,2011-01-03 07:00:00,2011-01-03 07:30:00
-7.644,0.0,69.156,-30.788,98.727,0.737,0.10555,6.481193793103448,0.0,394.52,0.1061,0.107,1.061,2011-01-03 07:30:00,2011-01-03 08:00:00
-7.438,2.513,69.347,-24.416,98.8,2.255,0.062712,6.7066,0.0,394.52,0.1071,0.107,1.071,2011-01-03 08:00:00,2011-01-03 08:30:00
-7.227,12.996,68.607,-52.124,98.8,2.597,0.1344,38.245,0.0,394.34,0.1115,0.107,1.115,2011-01-03 08:30:00,2011-01-03 09:00:00
-7.183,36.052,68.813,-19.04,98.8,2.659,0.034629,82.886,0.0,394.29,0.1112,0.107,1.1119999999999999,2011-01-03 09:00:00,2011-01-03 09:30:00
-6.914,62.605,69.651,19.798,98.8,2.418,0.12874,133.42,0.0,394.4,0.1104,0.107,1.104,2011-01-03 09:30:00,2011-01-03 10:00:00
-7.255,107.15,75.123,64.991,98.8,1.894,0.11771,222.55,0.0,395.54,0.0882,0.107,0.882,2011-01-03 10:00:00,2011-01-03 10:30:00
-7.089,117.05,77.596,80.53,98.8,1.408,0.20095,246.58,0.0,396.38,0.0804,0.107,0.804,2011-01-03 10:30:00,2011-01-03 11:00:00
-6.712,109.97,77.544,78.89,98.8,0.986,0.26758,236.72,0.0,396.38,0.0829999999999999,0.1065,0.829999999999999,2011-01-03 11:00:00,2011-01-03 11:30:00
-6.38,121.98,76.85,87.692,98.8,1.053,0.16566,264.77,0.0,396.25,0.0878,0.106,0.878,2011-01-03 11:30:00,2011-01-03 12:00:00
-6.092,164.9,79.097,116.4,98.72,0.989,0.22068,353.43,0.0,395.97,0.081,0.106,0.81,2011-01-03 12:00:00,2011-01-03 12:30:00
-6.004,183.88,79.507,128.29,98.7,0.664,0.2056,396.32,0.0,395.69,0.08,0.106,0.8,2011-01-03 12:30:00,2011-01-03 13:00:00
-5.724,178.34,78.655,121.18,98.683,0.918,0.15709,383.38,0.0,395.58,0.0851,0.106,0.851,2011-01-03 13:00:00,2011-01-03 13:30:00
-5.56,167.19,77.602,114.01,98.6,0.991,0.37988,361.77,0.0,395.82,0.0904,0.106,0.9039999999999999,2011-01-03 13:30:00,2011-01-03 14:00:00
-5.247,130.14,77.847,89.765,98.6,0.416,0.31057,284.43,0.0,396.1,0.0916,0.106,0.916,2011-01-03 14:00:00,2011-01-03 14:30:00
-5.058,89.471,80.985,56.077,98.6,1.195,0.11578,199.45,0.0,396.35,0.0798,0.106,0.7979999999999999,2011-01-03 14:30:00,2011-01-03 15:00:00
-5.157,58.345,82.965,33.043,98.6,0.858,0.11342,130.96,0.0,396.57,0.0708999999999999,0.106,0.708999999999999,2011-01-03 15:00:00,2011-01-03 15:30:00
-5.277,40.616,84.533,20.73,98.537,0.923,0.13984,91.843,0.0,396.63,0.0638,0.106,0.6379999999999999,2011-01-03 15:30:00,2011-01-03 16:00:00
-5.103,40.275,86.263,16.531,98.5,1.44,0.25851,84.989,0.0,397.02,0.0573999999999999,0.1055,0.5739999999999991,2011-01-03 16:00:00,2011-01-03 16:30:00
-4.69,17.662,89.093,-6.2744,98.5,1.27,0.20697,37.624,0.0,397.31,0.047,0.1055,0.47,2011-01-03 16:30:00,2011-01-03 17:00:00
-5.34,1.347,89.212,-9.6767,98.5,1.405,0.16991,4.0515,0.0,397.25,0.0443,0.1055,0.443,2011-01-03 17:00:00,2011-01-03 17:30:00
-5.118,0.0,90.766,-7.8578,98.5,0.99,0.13692,3.992713333333333,0.0,397.46,0.0386,0.105,0.386,2011-01-03 17:30:00,2011-01-03 18:00:00
-5.26,0.0,91.283,-5.3703,98.5,1.601,0.18863,3.9339266666666655,0.0,397.84,0.036,0.105,0.36,2011-01-03 18:00:00,2011-01-03 18:30:00
-5.208,0.0,92.543,-4.8671,98.5,1.071,0.22412,3.87514,0.0,398.19,0.0309,0.105,0.309,2011-01-03 18:30:00,2011-01-03 19:00:00
-5.335,0.0,92.897,-3.1941,98.46,1.436,0.10288,3.816353333333333,0.0,398.12,0.0291999999999999,0.105,0.291999999999999,2011-01-03 19:00:00,2011-01-03 19:30:00
-5.253,0.0,93.289,-2.8197,98.4,1.436,0.11792,3.7575666666666665,0.0,398.11,0.0277,0.105,0.27699999999999997,2011-01-03 19:30:00,2011-01-03 20:00:00
-5.334,0.0,93.273,-2.4469000000000003,98.4,1.48,0.11476,3.69878,0.0,398.26,0.0276,0.105,0.276,2011-01-03 20:00:00,2011-01-03 20:30:00
-4.934,0.0,94.227,-2.0741,98.37,1.517,0.081806,3.639993333333333,0.0,398.08,0.0243999999999999,0.105,0.243999999999999,2011-01-03 20:30:00,2011-01-03 21:00:00
-5.031,0.0,93.714,-1.7013,98.3,1.244,0.05851,3.581206666666666,0.0,397.92,0.0264,0.105,0.264,2011-01-03 21:00:00,2011-01-03 21:30:00
-4.931,0.0,94.525,-1.3339,98.3,1.429,0.12938,3.52242,0.0,398.28,0.0232,0.105,0.23199999999999998,2011-01-03 21:30:00,2011-01-03 22:00:00
-4.77,0.0,95.361,-1.2128,98.3,1.701,0.12189,3.463633333333333,0.0,398.5,0.0199,0.1045,0.199,2011-01-03 22:00:00,2011-01-03 22:30:00
-4.933,0.0,94.856,-0.77239,98.3,1.661,0.083061,3.404846666666667,0.0,398.43,0.0218,0.1045,0.218,2011-01-03 22:30:00,2011-01-03 23:00:00
-5.077,0.0,94.082,-1.9897,98.257,2.434,0.13037,3.34606,0.0,398.4,0.0248,0.1045,0.248,2011-01-03 23:00:00,2011-01-03 23:30:00
-4.982,0.0,93.541,-1.9773,98.2,2.69,0.1784,3.2872733333333333,0.0,398.85,0.0272,0.104,0.27199999999999996,2011-01-03 23:30:00,2011-01-04 00:00:00
-5.146,0.0,92.987,-0.4917,98.2,2.618,0.24514,3.2284866666666665,0.0,399.34,0.0291999999999999,0.104,0.291999999999999,2011-01-04 00:00:00,2011-01-04 00:30:00
-5.236,0.0,92.958,0.0065139,98.2,2.741,0.19012,3.1697,0.0,399.93,0.0290999999999999,0.104,0.290999999999999,2011-01-04 00:30:00,2011-01-04 01:00:00
-4.994,0.0,93.494,-0.11148,98.2,2.822,0.24143,3.1109133333333334,0.0,399.66,0.0274,0.104,0.274,2011-01-04 01:00:00,2011-01-04 01:30:00
-5.091,0.0,93.465,-1.1698,98.177,1.99,0.13023,3.0521266666666667,0.0,399.27,0.0273,0.104,0.273,2011-01-04 01:30:00,2011-01-04 02:00:00
-4.913,0.0,93.789,-0.49737,98.1,2.389,0.16033,2.99334,0.0,398.65,0.0263,0.104,0.263,2011-01-04 02:00:00,2011-01-04 02:30:00
-4.884,0.0,93.325,-0.74934,98.1,2.981,0.32205,2.9345533333333336,0.0,398.78,0.0283999999999999,0.104,0.28399999999999903,2011-01-04 02:30:00,2011-01-04 03:00:00
-5.183,0.0,93.686,-1.853,98.1,2.747,0.38521,2.8757666666666664,0.0,399.49,0.0262,0.104,0.262,2011-01-04 03:00:00,2011-01-04 03:30:00
-5.732,0.0,92.841,-1.9496,98.1,2.007,0.24294,2.81698,0.0,397.92,0.0284999999999999,0.104,0.28499999999999903,2011-01-04 03:30:00,2011-01-04 04:00:00
-5.237,0.0,94.502,-2.0462,98.09,1.819,0.12736,2.7581933333333333,0.0,397.52,0.0228,0.1035,0.228,2011-01-04 04:00:00,2011-01-04 04:30:00
-5.604,0.0,93.46,-2.5248,98.0,2.308,0.21014,2.6994066666666665,0.0,396.71,0.0263,0.1035,0.263,2011-01-04 04:30:00,2011-01-04 05:00:00
-5.831,0.0,93.999,-2.731,98.0,1.885,0.16446,2.64062,0.0,396.88,0.0237,0.1035,0.237,2011-01-04 05:00:00,2011-01-04 05:30:00
-6.229,0.0,94.154,-4.1117,98.0,1.34,0.12898,2.581833333333333,0.0,396.82,0.0224,0.1035,0.224,2011-01-04 05:30:00,2011-01-04 06:00:00
-6.338,0.0,93.504,-2.4767,98.0,1.696,0.11074,2.5230466666666667,0.0,396.32,0.0247,0.103,0.247,2011-01-04 06:00:00,2011-01-04 06:30:00
-6.632,0.0,92.377,-1.038,98.0,1.996,0.11958,2.4642600000000003,0.0,396.08,0.0283,0.103,0.283,2011-01-04 06:30:00,2011-01-04 07:00:00
