Day of the Year (DOY),Stand transpiration (mm/h),E. parramattensis (mm/h),A. bakeri (mm/h),Radiation (W/m2),T(degC),VPD (kPa),Volumetric water content (m3/m3),Rain (mm)
1,0.01297,0.00676,0.00707,28,24.3,0.59022425,0.081,0
1.02,0.01116,0.00364,0.01041,29,24.1,0.613082149,0.081520833,0
1.04,0.01382,0.00594,0.00703,28,24.5,0.618794387,0.0819375,0
1.06,0.01093,0.00279,0.00836,26,23.8,0.552187865,0.08115625,0
1.08,0.01247,0.00629,0.00753,23,23.6,0.525263919,0.080533333,0
1.1,0.01042,0.00258,0.00835,31,21.9,0.479186959,0.080741667,0
1.13,0.01163,0.00536,0.00711,41,22.5,0.448056536,0.08095,0
1.15,0.00956,0.00236,0.00806,38,22.6,0.434384725,0.081,0.2
1.17,0.00981,0.00524,0.00639,39,22.3,0.17974763,0.081,0
1.19,0.00873,0.00201,0.00755,23,21.2,0.097868005,0.08034375,0
1.21,0.00697,0.0051,0.00471,33,21.7,0.075020164,0.0795625,0
1.23,0.0133,0.0017,0.00704,53,22.6,0.087423341,0.08021875,0
1.25,0.00518,0.00336,0.00362,149,22.8,0.113374384,0.081,0
1.27,0.01971,0.00376,0.00954,318,22.4,0.299600246,0.081260417,0
1.29,0.0429,0.00214,0.00305,418,23.7,0.59850595,0.081458333,0
1.31,0.03013,0.0068,0.01291,225,22.3,0.544608492,0.0809375,0
1.33,0.05842,0.02181,0.02109,283,22.7,0.640413897,0.080466667,0
1.35,0.03433,0.0113,0.01883,465,22.6,0.844181635,0.080258333,0
1.38,0.09189,0.02799,0.03043,290,21.5,0.840809526,0.08005,0
1.4,0.03056,0.01341,0.02092,175,21.5,0.884255611,0.08059375,0
1.42,0.04173,0.04334,0.04855,127,20.3,0.384818657,0.081375,1
1.44,0.02561,0.01176,0.01879,195,19.8,0.16357623,0.08128125,0
1.46,0.01683,0.01726,0.02448,414,20.5,0.315004377,0.081020833,0
1.48,0.01972,0.00944,0.01617,168,19.8,0.396269178,0.081,0.2
1.5,0.02019,0.00719,0.00965,321,19.3,0.172046672,0.081,0.4
1.52,0.01622,0.00712,0.0126,263,20,0.223896864,0.08021875,0
1.54,0.04097,0.00879,0.0114,327,20.7,0.333476901,0.0795625,0.4
1.56,0.01454,0.00543,0.01079,186,19.9,0.215577187,0.08034375,2.2
1.58,0.01335,0.02111,0.01986,155,19.7,0.157998096,0.0809,4.6
1.6,0.01377,0.00461,0.00993,183,20.1,0.100902304,0.080275,1.4
1.63,0.00225,0.00535,0.00799,175,22,0.20285229,0.07965,0.8
1.65,0.01422,0.00448,0.00929,181,21.2,0.168132214,0.079697917,0
1.67,0.01292,-0.00039,0.00264,108,20,0.184248461,0.079958333,0
1.69,0.02023,0.00508,0.00914,161,20.3,0.1496517,0.08,0
1.71,0.04461,0.00796,0.00496,240,21,0.696615773,0.08,0
1.73,0.02343,0.00772,0.01251,102,21.1,0.780686076,0.079760417,0
1.75,0.0577,0.02657,0.01805,71,20.8,0.793484668,0.0795,0
1.77,0.02365,0.00911,0.01433,38,20.2,0.677593607,0.079239583,0
1.79,0.03076,0.02671,0.031,11,20.2,0.618569774,0.079104167,0
1.81,0.01962,0.00875,0.0149,0,20.7,0.635310008,0.08040625,0
1.83,0.01781,0.01252,0.01824,0,21.5,0.506019107,0.081433333,0
1.85,0.01364,0.00633,0.01329,0,21.7,0.444947177,0.081016667,0
1.88,0.01393,0.00771,0.0101,0,21.5,0.316900855,0.0806,0
1.9,0.01069,0.00353,0.01011,0,20.8,0.230208515,0.080302083,0
1.92,0.01209,0.00622,0.00772,0,21.5,0.219786077,0.080041667,0
1.94,0.00929,0.00225,0.00844,0,22.5,0.135774708,0.08,0.6
1.96,0.0083,0.0063,0.00579,0,20.5,0.091375315,0.08,0
1.98,0.0081,0.00173,0.00756,0,19.7,0.048086377,0.080239583,0
2,0.00609,0.00428,0.00402,0,18.9,0.041423266,0.0805,0
2.02,0.00723,0.00122,0.00688,0,18.9,0.03488275,0.081020833,0
2.04,0.005,0.00309,0.00301,0,18.4,0.033826288,0.0814375,0
2.06,0.00697,0.00082,0.00641,0,18.6,0.029964593,0.08065625,0
2.08,0.00565,0.00231,0.00269,0,18.3,0.023112786,0.079966667,0.6
2.1,0.00685,0.00065,0.00632,0,18.3,0.021011624,0.079758333,0.4
2.13,0.00286,0.0032,0.00245,0,18.3,0.018910461,0.07955,0
2.15,0.00683,0.00054,0.00631,0,19.1,0.019864053,0.079895833,0
2.17,0.00145,0.00034,0.00251,0,18.9,0.017441375,0.080416667,0
2.19,0.00655,0.00048,0.00634,0,18.8,0.017334516,0.0805,0
2.21,0.00316,-0.0005,0.00195,5,18.6,0.012841968,0.0805,0
2.23,0.00665,0.00032,0.00623,39,19.2,0.011103529,0.080260417,0
2.25,0.00215,0.00136,0.0018,50,19.6,0.006827534,0.08,0
2.27,0.00915,0.00055,0.0061,108,20.5,0.014427681,0.079739583,0
2.29,0.00545,0.00108,0.00107,152,21,0.047102134,0.0795625,0
2.31,0.01535,0.00219,0.00696,198,20.6,0.162095359,0.08034375,0
2.33,0.0234,0.00375,0.0017,252,22,0.300326766,0.0809,0
2.35,0.02417,0.00526,0.0101,226,22.2,0.407988442,0.080275,0
2.38,0.05626,0.01507,0.00833,424,23.6,0.603618206,0.07965,0
2.4,0.03644,0.00931,0.01486,410,21.8,0.692307668,0.0795,0
2.42,0.08507,0.02985,0.02641,747,22.5,0.877104612,0.0795,0
2.44,0.04821,0.01468,0.02177,592,23.3,1.000350116,0.0795,0
2.46,0.10997,0.04096,0.04411,262,23.3,1.048800121,0.0795,0
2.48,0.05475,0.01933,0.02889,382,23.7,1.135701534,0.079739583,0.2
2.5,0.12698,0.05458,0.05539,526,25.1,1.368607257,0.08,0
2.52,0.06151,0.02236,0.03238,611,24.1,1.36971524,0.079739583,0
2.54,0.11977,0.05897,0.06802,473,26.3,1.661105499,0.0795,0
2.56,0.06187,0.02547,0.03604,531,25.6,1.563861328,0.0795,0
2.58,0.13266,0.061,0.05876,732,26.8,1.75679883,0.079533333,0
2.6,0.05929,0.02569,0.03618,433,25.9,1.478829314,0.079741667,0
2.63,0.11261,0.06591,0.06675,340,25.1,1.286046262,0.07995,0
2.65,0.05724,0.02488,0.03441,449,25.5,1.304138425,0.079802083,0
2.67,0.10593,0.0503,0.06231,341,25.1,1.136801387,0.079541667,0
2.69,0.04992,0.02392,0.03332,229,23.1,0.999611515,0.0795,0
2.71,0.09443,0.04853,0.0574,171,22.8,0.992717166,0.0795,0
2.73,0.04126,0.0211,0.02882,156,22.5,0.931414496,0.0795,0
2.75,0.0714,0.04461,0.04982,125,22.2,0.92530712,0.0795,0
2.77,0.03213,0.01754,0.02371,41,21.9,0.879818678,0.08028125,0
2.79,0.04099,0.03517,0.03623,14,20.9,0.749056157,0.080958333,0
2.81,0.02388,0.01352,0.01861,0,20.4,0.654853718,0.0804375,0
2.83,0.02364,0.02067,0.02032,0,20.1,0.581948172,0.080066667,0
2.85,0.01653,0.00968,0.0142,0,20.5,0.579511868,0.080483333,0
2.88,0.02161,0.01169,0.01195,0,19.4,0.420397958,0.0809,0
2.9,0.02107,0.00581,0.01072,0,19.4,0.123646458,0.081395833,2
2.92,0.01448,0.01071,0.0109,0,20.2,0.089716227,0.081916667,0.2
2.94,0.00477,0.01013,0.01094,0,18,0.055691903,0.082,0.2
2.96,0.00744,0.00827,0.00621,0,19.6,0.040965202,0.082,0
2.98,0.00637,0.00037,0.0044,0,21.7,0.046564239,0.081760417,0.4
3,0.00686,0.00372,0.00371,0,20.3,0.040382205,0.0815,2.4
3.02,0.00488,0.00297,0.00339,0,18,0.028877283,0.082020833,0.6
3.04,0.00373,0.00345,0.00342,0,18.1,0.022829652,0.082520833,0.4
3.06,0.00546,0.00115,0.00373,0,18.6,0.019262952,0.08278125,0.4
3.08,0.00143,0.00008,0.00365,0,20.9,0.024640005,0.083066667,0
3.1,0.00332,0.00231,0.00316,0,24,0.029727208,0.083483333,0.4
3.13,0.00335,-0.00063,0.00206,0,24.2,0.036104015,0.0839,0
3.15,0.00333,0.00068,0.00264,0,23.9,0.026594063,0.084395833,0
3.17,0.00421,0.0002,0.00316,0,24.8,0.024951357,0.084916667,0
3.19,0.00594,0.00105,0.00229,0,24.6,0.027735874,0.085,0
3.21,0.00647,0.00178,0.00243,9,25,0.025251882,0.085,0
3.23,0.00474,0.0033,0.00265,53,25.2,0.025555714,0.085239583,0
3.25,0.00539,0.00359,0.00288,74,24.9,0.040789463,0.0855,0
3.27,0.0081,0.00285,0.00189,140,25.2,0.06708375,0.086020833,0
3.29,0.01396,0.00276,0.00263,200,23.7,0.186850638,0.086520833,0
3.31,0.02589,0.00549,0.00261,250,22.4,0.323892158,0.08678125,0
3.33,0.04551,0.00936,0.0046,568,23.5,0.501916434,0.087066667,0
3.35,0.09541,0.01658,0.00931,818,21.6,0.655664386,0.087483333,0
3.38,0.0942,0.02658,0.01893,325,21,0.651992698,0.0879,0
3.4,0.09979,0.0485,0.04691,382,21.4,0.7544273,0.088989583,0
3.42,0.11818,0.04735,0.04685,614,22.2,0.978638943,0.090291667,0
3.44,0.14109,0.0442,0.05559,476,22.2,0.874641889,0.09115625,0
3.46,0.107,0.05754,0.06063,901,23.2,0.971669598,0.0919375,0
3.48,0.12601,0.07204,0.06905,274,22.5,0.93412999,0.092479167,0
3.5,0.13409,0.05088,0.05612,542,22.9,1.048811728,0.093,0
3.52,0.12389,0.05673,0.06928,819,23.3,1.148550133,0.094041667,0
3.54,0.13886,0.06091,0.07318,911,23.7,1.22036823,0.095041667,0
3.56,0.11966,0.05402,0.06988,809,23.5,1.237483623,0.0955625,0.2
3.58,0.10648,0.06727,0.07159,284,22.8,1.158630898,0.096,0
3.6,0.10425,0.05632,0.06334,149,22.5,1.059042721,0.096,0
3.63,0.08719,0.0514,0.05507,420,22.8,1.034195599,0.096,0
3.65,0.10025,0.04872,0.05554,143,21.4,1.003362907,0.096395833,0
3.67,0.09297,0.04122,0.04597,373,22.4,1.152516263,0.096916667,0
3.69,0.11428,0.04541,0.05485,322,22.6,1.275834381,0.0974375,0
3.71,0.10193,0.04424,0.04873,192,22.4,1.152516263,0.097958333,0
3.73,0.0736,0.05408,0.0602,103,22,1.037971456,0.098239583,0
3.75,0.06101,0.04618,0.05576,70,22,1.03006812,0.0985,0
3.77,0.04766,0.03463,0.03897,45,21.3,0.926584741,0.098760417,0
3.79,0.03984,0.03087,0.03013,7,20.7,0.80083139,0.099020833,0
3.81,0.02826,0.02397,0.02368,0,20.2,0.694120281,0.09928125,0
3.83,0.02274,0.02074,0.0191,0,20,0.587729268,0.099533333,0
3.85,0.02126,0.01421,0.01405,0,20.6,0.583059425,0.099741667,0
3.88,0.01897,0.01118,0.01156,0,21.1,0.538748218,0.09995,0
3.9,0.01712,0.01077,0.01049,0,21.5,0.54690954,0.1,0
3.92,0.01773,0.00918,0.00979,0,21.1,0.546230832,0.1,0
3.94,0.01653,0.00863,0.00848,0,22.4,0.566811277,0.09978125,0
3.96,0.01459,0.00874,0.00899,0,22.3,0.539242891,0.099520833,0
3.98,0.01342,0.00793,0.00859,0,21.3,0.40396065,0.0995,0
4,0.01327,0.00704,0.00755,0,21.1,0.371636502,0.0995,0
4.02,0.01265,0.0065,0.00693,0,22,0.392532353,0.099239583,0
4.04,0.01359,0.0065,0.00677,0,21.5,0.304122594,0.099020833,0
4.06,0.01168,0.00594,0.00671,0,21.2,0.258471911,0.09928125,0
4.08,0.01025,0.00683,0.00676,0,22.8,0.210157394,0.099566667,0
4.1,0.00786,0.0059,0.00578,0,22.7,0.159416335,0.099983333,0
4.13,0.00771,0.00534,0.00491,0,23.2,0.118979951,0.1004,0
4.15,0.00796,0.00398,0.00388,0,23.1,0.092921634,0.1005,0
4.17,0.00705,0.00381,0.00391,0,22,0.08430225,0.1005,0
4.19,0.0068,0.00393,0.00404,0,20.5,0.081756861,0.10028125,0
4.21,0.00819,0.00365,0.0034,3,18.4,0.044397002,0.100020833,0
4.23,0.00734,0.00362,0.00318,16,21.8,0.033834585,0.1,0
4.25,0.00659,0.00431,0.00388,107,23,0.030787386,0.1,0
4.27,0.0137,0.00382,0.00352,308,24.4,0.246646169,0.1,0
4.29,0.03556,0.00337,0.00321,304,21.7,0.388035329,0.099979167,0
4.31,0.05449,0.00783,0.00587,240,21.8,0.424233646,0.09971875,0
4.33,0.08873,0.01849,0.01707,305,21.3,0.540297369,0.099466667,0
4.35,0.10265,0.02701,0.02748,585,21,0.624723042,0.099258333,0
4.38,0.09901,0.04253,0.0462,770,22,0.856194729,0.09905,0
4.4,0.11034,0.05199,0.05067,596,22.3,0.909469354,0.099395833,0
4.42,0.11134,0.04504,0.05397,522,22.3,1.051657778,0.099916667,0
4.44,0.1102,0.05376,0.05658,381,22.2,0.997305081,0.09978125,0
4.46,0.10918,0.04874,0.0626,472,22.5,1.040034262,0.099520833,0
4.48,0.13696,0.04957,0.06063,546,23.2,1.220960924,0.099260417,0
4.5,0.12254,0.05162,0.05756,640,23.5,1.303828898,0.099,0
4.52,0.13139,0.0652,0.07176,563,23.7,1.369264832,0.099,0
4.54,0.14124,0.05659,0.06595,930,24.4,1.507282143,0.099,0
4.56,0.14957,0.05912,0.07227,454,24.4,1.507282143,0.099,0
4.58,0.14383,0.07052,0.07072,1145,25.1,1.686149544,0.099066667,0
4.6,0.10952,0.06541,0.08416,206,24.5,1.534732614,0.099483333,0
4.63,0.10741,0.07261,0.07122,202,23.9,1.382891262,0.0999,0
4.65,0.10125,0.05274,0.05678,210,23.9,1.394710846,0.099604167,0
4.67,0.11564,0.04683,0.06058,616,25.8,1.698500188,0.099083333,0
4.69,0.09787,0.04626,0.05499,194,23.8,1.395155509,0.0985625,0
4.71,0.09815,0.05275,0.06289,96,23.7,1.287517678,0.098041667,0
4.73,0.10375,0.04514,0.05273,249,23.4,1.275922065,0.098479167,0
4.75,0.09551,0.04626,0.05189,151,22.9,1.212949372,0.099,0
4.77,0.07081,0.04465,0.0591,20,22.3,1.097265386,0.099260417,0
4.79,0.04621,0.04496,0.05055,10,21.8,1.004626917,0.099458333,0
4.81,0.03495,0.03333,0.03747,0,21.1,0.967751429,0.0989375,0
4.83,0.02767,0.02312,0.02309,0,20.6,0.832250797,0.098566667,0
4.85,0.02538,0.018,0.01694,0,20.1,0.703969563,0.098983333,0
4.88,0.0228,0.01336,0.01431,0,19.5,0.560961452,0.0994,0
4.9,0.0207,0.01238,0.013,0,20.5,0.473708872,0.099104167,0
4.92,0.01692,0.01097,0.01182,0,22.6,0.390673055,0.098583333,0
4.94,0.01469,0.01013,0.01058,0,19,0.182069291,0.0985,0
4.96,0.01216,0.00846,0.00847,0,17.7,0.143762103,0.0985,0
4.98,0.01103,0.0082,0.00649,0,21,0.111557686,0.0985,0
5,0.01079,0.00614,0.00602,0,21.8,0.104106416,0.0985,0
5.02,0.01009,0.00565,0.00538,0,22.4,0.086371242,0.098760417,0
5.04,0.00991,0.00592,0.00488,0,22.2,0.079997734,0.099,0
5.06,0.00984,0.00538,0.00472,0,21.1,0.057366708,0.099,0
5.08,0.00884,0.00533,0.00458,0,20.6,0.026612671,0.0989,0
5.1,0.00832,0.00576,0.00408,0,21.2,0.027603796,0.098275,0
5.12,0.00804,0.00491,0.00393,0,21.1,0.029930457,0.09765,0
5.15,0.00799,0.00435,0.00397,0,21,0.017353418,0.0975,0
5.17,0.00762,0.0044,0.00364,0,21,0.022311537,0.0975,0
5.19,0.00792,0.00451,0.00348,0,20.6,0.021774003,0.0979375,0
5.21,0.00698,0.00368,0.00395,8,20.6,0.009677335,0.098458333,0
5.23,0.00732,0.00428,0.00363,84,21.2,0.005018872,0.098260417,0
5.25,0.00778,0.00378,0.0032,181,22.3,0,0.098,0
5.27,0.0066,0.00447,0.00285,334,23.1,0.123895512,0.097739583,0
5.29,0.03526,0.00576,0.00202,417,19.9,0.377839585,0.0975,0
5.31,0.06942,0.00328,0.00332,527,21.5,0.587799972,0.0975,0
5.33,0.08649,0.01805,0.01721,616,21.9,0.754130296,0.0975,0
5.35,0.09916,0.0348,0.03462,706,21.4,0.800150166,0.0975,0
5.37,0.12171,0.04842,0.03806,748,22.3,1.048974978,0.0975,0
5.4,0.11312,0.04666,0.0525,846,22.9,1.212949372,0.097302083,0
5.42,0.12456,0.06491,0.05681,949,23.5,1.349982134,0.097041667,0
5.44,0.12968,0.05293,0.06018,991,23.9,1.462673451,0.097,0
5.46,0.1277,0.05653,0.06803,920,24.9,1.716295083,0.097,0
5.48,0.14222,0.0538,0.07587,859,25.5,1.957833745,0.100114583,0
5.5,0.12898,0.05282,0.07488,874,26.1,2.153800072,0.1035,0
5.52,0.13966,0.07427,0.06794,935,26.5,2.219408035,0.102979167,0
5.54,0.13609,0.05935,0.06963,1025,27.2,2.370923602,0.102583333,0
5.56,0.12227,0.06834,0.07132,1058,27.7,2.54938888,0.103625,0
5.58,0.12306,0.06316,0.07293,976,27.8,2.586815799,0.104533333,0
5.6,0.11973,0.05572,0.06654,876,28.5,2.621641694,0.104741667,0
5.62,0.11462,0.05466,0.0684,791,28.4,2.556115805,0.10495,0
5.65,0.13478,0.05008,0.06966,702,27.9,2.313385397,0.105197917,0
5.67,0.12582,0.05059,0.06403,607,27.6,2.239707262,0.105458333,0
5.69,0.11642,0.0564,0.07838,500,27.3,2.12078173,0.1050625,0
5.71,0.10736,0.0559,0.06991,386,25.9,1.855198036,0.104541667,0
5.73,0.11547,0.04544,0.07099,285,24.9,1.590789044,0.103541667,0
5.75,0.0975,0.04517,0.06219,161,23.9,1.388801054,0.1025,0
5.77,0.06911,0.04558,0.06989,72,23.2,1.246456627,0.099635417,0
5.79,0.05118,0.0428,0.0547,9,23.1,1.174191554,0.097041667,0
5.81,0.03708,0.03067,0.03844,0,21.9,0.968847949,0.0975625,0
5.83,0.02922,0.02296,0.02822,0,21.2,0.798000656,0.0982,0
5.85,0.02555,0.01777,0.01931,0,21,0.671825176,0.09945,0
5.87,0.02018,0.01352,0.01571,0,20.2,0.55246308,0.1007,0
5.9,0.01902,0.01221,0.01334,0,20.2,0.51704878,0.0998125,0
5.92,0.01534,0.00939,0.01079,20,19.8,0.430827536,0.09825,0
5.94,0.01613,0.0091,0.00992,34,19.1,0.328860439,0.09778125,0
5.96,0.01333,0.00726,0.00808,36,18.9,0.239818907,0.097520833,0
5.98,0.01143,0.00803,0.0081,36,21.1,0.234455243,0.097739583,0
6,0.01033,0.00677,0.00656,39,18.6,0.128419682,0.098,0
6.02,0.00931,0.00575,0.00567,36,20.3,0.092641529,0.097479167,0
6.04,0.00879,0.00509,0.00524,37,22.1,0.098067497,0.097,0
6.06,0.00909,0.00467,0.00464,41,21.8,0.075477152,0.097,0
6.08,0.00946,0.00469,0.0041,41,22.1,0.055659931,0.097,0
6.1,0.00867,0.00493,0.00416,41,22.4,0.048583824,0.097,0
6.12,0.00833,0.00473,0.00473,39,21.4,0.043182707,0.097,0
6.15,0.00836,0.00439,0.00428,41,21.8,0.039039906,0.097,0
6.17,0.0079,0.0046,0.00374,40,21.6,0.028283562,0.097,0
6.19,0.00725,0.00427,0.00409,40,21.1,0.037413071,0.09721875,0
6.21,0.00601,0.00424,0.00366,46,21.8,0.026026604,0.097479167,0
6.23,0.00744,0.00358,0.00368,95,22.3,0.013414002,0.097020833,0
6.25,0.00681,0.00259,0.00342,173,22.9,0.008345982,0.0965,0
6.27,0.00827,0.00356,0.00388,292,24.4,0.100485476,0.0965,0
6.29,0.03846,0.00415,0.00266,441,23,0.422626838,0.09675,0
6.31,0.06727,0.00397,0.0043,524,21.9,0.518464578,0.099875,0
6.33,0.10328,0.02143,0.01703,629,22.2,0.701313466,0.102533333,0
6.35,0.09338,0.03198,0.03529,712,22.3,0.820936939,0.102741667,0
6.37,0.14117,0.05192,0.05136,795,23.4,1.012135931,0.10295,0
6.4,0.11615,0.03941,0.05397,874,24.1,1.163360761,0.10003125,0
6.42,0.11633,0.08332,0.05785,947,24.8,1.33489759,0.096125,0
6.44,0.13642,0.05365,0.06251,991,24.6,1.497737221,0.09528125,0
6.46,0.12362,0.05825,0.05808,975,26.6,1.87845247,0.095020833,0
6.48,0.11556,0.06563,0.07079,955,28.3,2.40680774,0.095239583,0
6.5,0.1247,0.05694,0.06668,979,28.8,2.620681051,0.0955,0
6.52,0.12502,0.05482,0.06074,1025,29.8,2.912133009,0.095239583,0
6.54,0.11826,0.05768,0.06702,1043,30.3,3.036657193,0.095,0
6.56,0.12693,0.06248,0.06254,992,31.5,3.425195902,0.095,0
6.58,0.10007,0.04911,0.06915,946,31.7,3.548867574,0.095,0
6.6,0.10191,0.0565,0.07043,799,32.3,3.774316258,0.095,0
6.62,0.11432,0.04193,0.05814,682,32.3,3.764638524,0.095,0
6.65,0.10602,0.04113,0.06078,537,32.5,3.391769672,0.095,0
6.67,0.13193,0.04373,0.0706,381,31.8,3.282395755,0.095,0
6.69,0.12116,0.03559,0.07043,277,30.4,2.898100729,0.09521875,0
6.71,0.12478,0.04534,0.08659,342,29.2,2.601732835,0.095479167,0
6.73,0.10588,0.04629,0.07487,145,28,2.240291125,0.095260417,0
6.75,0.08037,0.0436,0.08118,88,26.2,1.966595792,0.095,0
6.77,0.0598,0.04059,0.06529,44,25.5,1.785466323,0.094739583,0
6.79,0.04589,0.03268,0.04769,9,24.6,1.5932719,0.094541667,0
6.81,0.0366,0.02396,0.03584,0,24.9,1.493521863,0.0950625,0
6.83,0.03402,0.01799,0.02791,0,24.4,1.364166465,0.095433333,0
6.85,0.03181,0.01485,0.02175,0,23.8,1.239485526,0.095016667,0
6.87,0.02981,0.01435,0.01966,0,23.2,1.158638092,0.0946,0
6.9,0.02942,0.01414,0.01766,5,22.8,1.108856778,0.094697917,0
6.92,0.02666,0.01354,0.01627,2,24,1.123688447,0.094958333,0
6.94,0.02369,0.01347,0.01595,2,23.2,0.954672462,0.09521875,0
6.96,0.02072,0.0114,0.01526,0,22.8,0.829568662,0.095479167,0
6.98,0.02093,0.00983,0.01385,0,23,0.747293812,0.095260417,0
7,0.01891,0.00878,0.01194,0,23.1,0.746188877,0.095,0
7.02,0.01888,0.00931,0.01162,0,22.6,0.655675057,0.094479167,0
7.04,0.0172,0.00851,0.0104,3,21.9,0.539412642,0.094020833,0
7.06,0.01486,0.00809,0.01079,0,22.4,0.523625656,0.09428125,0
7.08,0.01681,0.00764,0.00956,0,22.3,0.582167699,0.094533333,0
7.1,0.01754,0.00617,0.0087,5,22.4,0.542519365,0.094741667,0
7.12,0.01693,0.00753,0.00928,2,21.8,0.491902817,0.09495,0
7.15,0.01699,0.00797,0.00957,26,21.7,0.426838861,0.095989583,0
7.17,0.01368,0.00717,0.00976,27,22,0.389897907,0.097291667,0
7.19,0.01295,0.00807,0.00893,25,22,0.324036774,0.0979375,0
7.21,0.01278,0.00592,0.00775,32,20.8,0.271841969,0.098458333,0
7.23,0.0122,0.00612,0.00683,45,19.7,0.320575846,0.09921875,0
7.25,0.01525,0.00687,0.00591,57,20.7,0.40650104,0.1,0
7.27,0.01751,0.00592,0.00628,100,20.6,0.411286731,0.100520833,0
7.29,0.0301,0.00696,0.00829,158,20.6,0.524995416,0.1009375,0
7.31,0.04989,0.00829,0.00922,146,21.5,0.656802578,0.10015625,0
7.33,0.06487,0.01389,0.0162,314,22.4,0.852916017,0.099533333,0
7.35,0.08528,0.02311,0.02678,183,24,1.040452266,0.099741667,0
7.37,0.08737,0.03019,0.03468,481,24.8,1.210140806,0.09995,0
7.4,0.11514,0.03768,0.0476,296,25.6,1.550774622,0.100395833,0
7.42,0.1247,0.03837,0.049,310,26.3,1.807773951,0.100916667,0
7.44,0.11484,0.05067,0.06447,200,25.9,1.795245496,0.101875,0
7.46,0.09444,0.0567,0.068,302,25.1,1.254292033,0.102916667,0
7.48,0.11593,0.05084,0.064,388,26.9,1.569304786,0.103,0
7.5,0.13218,0.03919,0.05526,191,26,1.625033259,0.103,0
7.52,0.10035,0.05218,0.06375,157,24.3,1.053323277,0.101958333,0.4
7.54,0.04685,0.0594,0.07278,169,24.6,0.7242145,0.1009375,0.4
7.56,0.04511,0.04064,0.05972,231,24.9,0.649493752,0.10015625,0.2
7.58,0.04631,0.02062,0.02623,176,24.7,0.595255814,0.099533333,0.2
7.6,0.05654,0.02138,0.02373,332,25.9,0.80602859,0.099741667,0
7.62,0.09326,0.02295,0.02336,408,25.9,0.869311827,0.09995,0
7.65,0.10951,0.02733,0.02921,621,26,0.941514115,0.1,0
7.67,0.12101,0.04532,0.04794,453,26.4,1.139163421,0.1,0
7.69,0.11917,0.05048,0.05902,440,27.9,1.424775447,0.10021875,0
7.71,0.09879,0.05097,0.07004,147,26.3,1.29272892,0.100479167,0
7.73,0.07651,0.05142,0.06774,64,25.9,1.199050795,0.100739583,0
7.75,0.0568,0.04371,0.05508,40,25,1.148960631,0.101,0
7.77,0.05114,0.03422,0.0423,99,25.6,1.266138774,0.101,0
7.79,0.05383,0.02605,0.03075,21,25.7,1.313206069,0.100958333,0
7.81,0.03971,0.02289,0.02825,0,24.8,1.066670504,0.1004375,0
7.83,0.03128,0.0241,0.02973,0,24,0.894788949,0.099966667,0
7.85,0.02614,0.01766,0.02205,0,23.4,0.831499773,0.099758333,0
7.87,0.02256,0.0146,0.01668,0,22.8,0.666420158,0.09955,0
7.9,0.01954,0.01156,0.01457,0,21.8,0.551764006,0.09890625,0
7.92,0.01886,0.00955,0.01301,0,21.3,0.383762617,0.098125,0
7.94,0.01497,0.0084,0.01114,0,21.2,0.238396422,0.09865625,0
7.96,0.01424,0.00875,0.01011,0,21.5,0.222341729,0.0994375,0
7.98,0.01233,0.00684,0.00813,0,21.1,0.251914676,0.099260417,0
8,0.01139,0.00735,0.0069,0,20.6,0.164514692,0.099,0
8.02,0.01213,0.00606,0.00628,0,21,0.195845716,0.099260417,0
8.04,0.01146,0.00532,0.00607,0,21.2,0.248434167,0.099541667,0
8.06,0.01013,0.00697,0.00516,0,21.8,0.291497966,0.1000625,0
8.08,0.01379,0.00504,0.00642,0,22.6,0.497220251,0.100433333,0
8.1,0.01671,0.0046,0.00553,0,22.4,0.46964363,0.100016667,0
8.12,0.01539,0.00619,0.0076,0,21.9,0.400631719,0.0996,0
8.15,0.01406,0.00704,0.00966,0,20.8,0.328169585,0.099104167,0
8.17,0.01262,0.00667,0.00872,0,21.7,0.313015165,0.098583333,0
8.19,0.01161,0.00581,0.00825,0,21.1,0.266879904,0.09915625,0
8.21,0.01334,0.00492,0.0077,0,21.3,0.345891306,0.0999375,0
8.23,0.01329,0.00494,0.00667,7,21,0.344589297,0.099520833,0
8.25,0.01524,0.00576,0.00758,35,21.6,0.408826029,0.099,0
8.27,0.02271,0.00474,0.00855,46,21.2,0.424094688,0.099,0
8.29,0.02775,0.00643,0.00881,67,21.3,0.487277534,0.098958333,0
8.31,0.0359,0.00992,0.01279,125,21.2,0.542038182,0.0984375,0
8.33,0.04568,0.01242,0.01533,166,21.6,0.537387673,0.098066667,0
8.35,0.06617,0.01687,0.01903,191,22.5,0.629994644,0.098483333,0
8.37,0.06654,0.02078,0.0249,216,21.7,0.582052993,0.0989,0
8.4,0.06197,0.02904,0.03713,236,22,0.632266877,0.099,0
8.42,0.10715,0.03021,0.03634,452,23.4,0.937587675,0.099,0
8.44,0.14081,0.02734,0.03463,447,23.6,1.036017786,0.0985625,0
8.46,0.14578,0.0532,0.05395,1058,24.7,1.255617734,0.098041667,0
8.48,0.13847,0.06697,0.07383,615,23.3,1.094400127,0.098958333,0
8.5,0.13522,0.06679,0.07899,965,24,1.180170142,0.1,0
8.52,0.14053,0.07129,0.06717,844,23.5,1.220176159,0.099739583,0
8.54,0.13466,0.06506,0.07016,1001,24.2,1.353900558,0.0995,0
